ADT_ARRIVAL_DATE,ADT_HOUR,ACUITY,SEASON,WEEKDAY,numPt
2016-03-10T00:00:00Z,1,Low,High,Tue/Sat,3
2016-03-10T00:00:00Z,2,Low,High,Tue/Sat,1
2016-03-10T00:00:00Z,2,High,High,Tue/Sat,1
2016-03-10T00:00:00Z,3,Low,High,Tue/Sat,1
2016-03-10T00:00:00Z,3,High,High,Tue/Sat,2
2016-03-10T00:00:00Z,4,Low,High,Tue/Sat,1
2016-03-10T00:00:00Z,5,High,High,Tue/Sat,1
2016-03-10T00:00:00Z,7,Low,High,Tue/Sat,2
2016-03-10T00:00:00Z,7,High,High,Tue/Sat,1
2016-03-10T00:00:00Z,8,Low,High,Tue/Sat,5
2016-03-10T00:00:00Z,8,High,High,Tue/Sat,3
2016-03-10T00:00:00Z,9,Low,High,Tue/Sat,4
2016-03-10T00:00:00Z,9,High,High,Tue/Sat,4
2016-03-10T00:00:00Z,10,Low,High,Tue/Sat,12
2016-03-10T00:00:00Z,10,High,High,Tue/Sat,8
2016-03-10T00:00:00Z,11,Low,High,Tue/Sat,7
2016-03-10T00:00:00Z,11,High,High,Tue/Sat,8
2016-03-10T00:00:00Z,12,Low,High,Tue/Sat,2
2016-03-10T00:00:00Z,12,High,High,Tue/Sat,9
2016-03-10T00:00:00Z,13,Low,High,Tue/Sat,5
2016-03-10T00:00:00Z,13,High,High,Tue/Sat,11
2016-03-10T00:00:00Z,14,Low,High,Tue/Sat,8
2016-03-10T00:00:00Z,14,High,High,Tue/Sat,6
2016-03-10T00:00:00Z,15,Low,High,Tue/Sat,3
2016-03-10T00:00:00Z,15,High,High,Tue/Sat,5
2016-03-10T00:00:00Z,16,Low,High,Tue/Sat,10
2016-03-10T00:00:00Z,16,High,High,Tue/Sat,10
2016-03-10T00:00:00Z,17,Low,High,Tue/Sat,9
2016-03-10T00:00:00Z,17,High,High,Tue/Sat,11
2016-03-10T00:00:00Z,18,Low,High,Tue/Sat,15
2016-03-10T00:00:00Z,18,High,High,Tue/Sat,9
2016-03-10T00:00:00Z,19,Low,High,Tue/Sat,10
2016-03-10T00:00:00Z,19,High,High,Tue/Sat,7
2016-03-10T00:00:00Z,20,Low,High,Tue/Sat,11
2016-03-10T00:00:00Z,20,High,High,Tue/Sat,15
2016-03-10T00:00:00Z,21,Low,High,Tue/Sat,10
2016-03-10T00:00:00Z,21,High,High,Tue/Sat,10
2016-03-10T00:00:00Z,22,Low,High,Tue/Sat,6
2016-03-10T00:00:00Z,22,High,High,Tue/Sat,4
2016-03-10T00:00:00Z,23,Low,High,Tue/Sat,7
2016-03-10T00:00:00Z,23,High,High,Tue/Sat,8
2016-03-11T00:00:00Z,0,Low,High,Tue/Sat,3
2016-03-11T00:00:00Z,0,High,High,Tue/Sat,2
2016-03-11T00:00:00Z,1,Low,High,Tue/Sat,2
2016-03-11T00:00:00Z,1,High,High,Tue/Sat,2
2016-03-11T00:00:00Z,2,Low,High,Tue/Sat,2
2016-03-11T00:00:00Z,2,High,High,Tue/Sat,3
2016-03-11T00:00:00Z,3,Low,High,Tue/Sat,2
2016-03-11T00:00:00Z,3,High,High,Tue/Sat,1
2016-03-11T00:00:00Z,4,Low,High,Tue/Sat,4
2016-03-11T00:00:00Z,4,High,High,Tue/Sat,1
2016-03-11T00:00:00Z,5,High,High,Tue/Sat,2
2016-03-11T00:00:00Z,6,High,High,Tue/Sat,4
2016-03-11T00:00:00Z,7,High,High,Tue/Sat,1
2016-03-11T00:00:00Z,8,Low,High,Tue/Sat,6
2016-03-11T00:00:00Z,8,High,High,Tue/Sat,8
2016-03-11T00:00:00Z,9,Low,High,Tue/Sat,10
2016-03-11T00:00:00Z,9,High,High,Tue/Sat,3
2016-03-11T00:00:00Z,10,Low,High,Tue/Sat,7
2016-03-11T00:00:00Z,10,High,High,Tue/Sat,5
2016-03-11T00:00:00Z,11,Low,High,Tue/Sat,2
2016-03-11T00:00:00Z,11,High,High,Tue/Sat,6
2016-03-11T00:00:00Z,12,Low,High,Tue/Sat,4
2016-03-11T00:00:00Z,12,High,High,Tue/Sat,7
2016-03-11T00:00:00Z,13,Low,High,Tue/Sat,6
2016-03-11T00:00:00Z,13,High,High,Tue/Sat,10
2016-03-11T00:00:00Z,14,Low,High,Tue/Sat,3
2016-03-11T00:00:00Z,14,High,High,Tue/Sat,7
2016-03-11T00:00:00Z,15,Low,High,Tue/Sat,8
2016-03-11T00:00:00Z,15,High,High,Tue/Sat,9
2016-03-11T00:00:00Z,16,Low,High,Tue/Sat,5
2016-03-11T00:00:00Z,16,High,High,Tue/Sat,5
2016-03-11T00:00:00Z,17,Low,High,Tue/Sat,9
2016-03-11T00:00:00Z,17,High,High,Tue/Sat,13
2016-03-11T00:00:00Z,18,Low,High,Tue/Sat,8
2016-03-11T00:00:00Z,18,High,High,Tue/Sat,8
2016-03-11T00:00:00Z,19,Low,High,Tue/Sat,13
2016-03-11T00:00:00Z,19,High,High,Tue/Sat,8
2016-03-11T00:00:00Z,20,Low,High,Tue/Sat,5
2016-03-11T00:00:00Z,20,High,High,Tue/Sat,5
2016-03-11T00:00:00Z,21,Low,High,Tue/Sat,8
2016-03-11T00:00:00Z,21,High,High,Tue/Sat,5
2016-03-11T00:00:00Z,22,Low,High,Tue/Sat,9
2016-03-11T00:00:00Z,22,High,High,Tue/Sat,6
2016-03-11T00:00:00Z,23,Low,High,Tue/Sat,3
2016-03-11T00:00:00Z,23,High,High,Tue/Sat,1
2016-03-12T00:00:00Z,0,Low,High,Mon/Sun,5
2016-03-12T00:00:00Z,0,High,High,Mon/Sun,4
2016-03-12T00:00:00Z,1,Low,High,Mon/Sun,5
2016-03-12T00:00:00Z,1,High,High,Mon/Sun,3
2016-03-12T00:00:00Z,2,High,High,Mon/Sun,1
2016-03-12T00:00:00Z,3,Low,High,Mon/Sun,2
2016-03-12T00:00:00Z,3,High,High,Mon/Sun,2
2016-03-12T00:00:00Z,4,Low,High,Mon/Sun,1
2016-03-12T00:00:00Z,4,High,High,Mon/Sun,1
2016-03-12T00:00:00Z,5,Low,High,Mon/Sun,3
2016-03-12T00:00:00Z,5,High,High,Mon/Sun,2
2016-03-12T00:00:00Z,6,Low,High,Mon/Sun,1
2016-03-12T00:00:00Z,6,High,High,Mon/Sun,2
2016-03-12T00:00:00Z,7,Low,High,Mon/Sun,5
2016-03-12T00:00:00Z,7,High,High,Mon/Sun,1
2016-03-12T00:00:00Z,8,Low,High,Mon/Sun,3
2016-03-12T00:00:00Z,8,High,High,Mon/Sun,2
2016-03-12T00:00:00Z,9,Low,High,Mon/Sun,4
2016-03-12T00:00:00Z,9,High,High,Mon/Sun,5
2016-03-12T00:00:00Z,10,Low,High,Mon/Sun,6
2016-03-12T00:00:00Z,10,High,High,Mon/Sun,8
2016-03-12T00:00:00Z,11,Low,High,Mon/Sun,4
2016-03-12T00:00:00Z,11,High,High,Mon/Sun,10
2016-03-12T00:00:00Z,12,Low,High,Mon/Sun,4
2016-03-12T00:00:00Z,12,High,High,Mon/Sun,7
2016-03-12T00:00:00Z,13,Low,High,Mon/Sun,2
2016-03-12T00:00:00Z,13,High,High,Mon/Sun,7
2016-03-12T00:00:00Z,14,Low,High,Mon/Sun,4
2016-03-12T00:00:00Z,14,High,High,Mon/Sun,5
2016-03-12T00:00:00Z,15,Low,High,Mon/Sun,7
2016-03-12T00:00:00Z,15,High,High,Mon/Sun,6
2016-03-12T00:00:00Z,16,Low,High,Mon/Sun,9
2016-03-12T00:00:00Z,16,High,High,Mon/Sun,5
2016-03-12T00:00:00Z,17,Low,High,Mon/Sun,5
2016-03-12T00:00:00Z,17,High,High,Mon/Sun,9
2016-03-12T00:00:00Z,18,Low,High,Mon/Sun,9
2016-03-12T00:00:00Z,18,High,High,Mon/Sun,9
2016-03-12T00:00:00Z,19,Low,High,Mon/Sun,15
2016-03-12T00:00:00Z,19,High,High,Mon/Sun,9
2016-03-12T00:00:00Z,20,Low,High,Mon/Sun,13
2016-03-12T00:00:00Z,20,High,High,Mon/Sun,10
2016-03-12T00:00:00Z,21,Low,High,Mon/Sun,4
2016-03-12T00:00:00Z,21,High,High,Mon/Sun,11
2016-03-12T00:00:00Z,22,Low,High,Mon/Sun,5
2016-03-12T00:00:00Z,22,High,High,Mon/Sun,5
2016-03-12T00:00:00Z,23,Low,High,Mon/Sun,7
2016-03-12T00:00:00Z,23,High,High,Mon/Sun,3
2016-03-13T00:00:00Z,0,Low,High,Mon/Sun,3
2016-03-13T00:00:00Z,0,High,High,Mon/Sun,7
2016-03-13T00:00:00Z,1,Low,High,Mon/Sun,2
2016-03-13T00:00:00Z,1,High,High,Mon/Sun,3
2016-03-13T00:00:00Z,3,Low,High,Mon/Sun,1
2016-03-13T00:00:00Z,4,Low,High,Mon/Sun,1
2016-03-13T00:00:00Z,4,High,High,Mon/Sun,1
2016-03-13T00:00:00Z,5,Low,High,Mon/Sun,2
2016-03-13T00:00:00Z,5,High,High,Mon/Sun,2
2016-03-13T00:00:00Z,6,Low,High,Mon/Sun,1
2016-03-13T00:00:00Z,6,High,High,Mon/Sun,2
2016-03-13T00:00:00Z,7,High,High,Mon/Sun,1
2016-03-13T00:00:00Z,8,Low,High,Mon/Sun,9
2016-03-13T00:00:00Z,8,High,High,Mon/Sun,4
2016-03-13T00:00:00Z,9,Low,High,Mon/Sun,10
2016-03-13T00:00:00Z,9,High,High,Mon/Sun,4
2016-03-13T00:00:00Z,10,Low,High,Mon/Sun,9
2016-03-13T00:00:00Z,10,High,High,Mon/Sun,1
2016-03-13T00:00:00Z,11,Low,High,Mon/Sun,9
2016-03-13T00:00:00Z,11,High,High,Mon/Sun,4
2016-03-13T00:00:00Z,12,Low,High,Mon/Sun,16
2016-03-13T00:00:00Z,12,High,High,Mon/Sun,7
2016-03-13T00:00:00Z,13,Low,High,Mon/Sun,6
2016-03-13T00:00:00Z,13,High,High,Mon/Sun,2
2016-03-13T00:00:00Z,14,Low,High,Mon/Sun,14
2016-03-13T00:00:00Z,14,High,High,Mon/Sun,9
2016-03-13T00:00:00Z,15,Low,High,Mon/Sun,9
2016-03-13T00:00:00Z,15,High,High,Mon/Sun,8
2016-03-13T00:00:00Z,16,Low,High,Mon/Sun,13
2016-03-13T00:00:00Z,16,High,High,Mon/Sun,13
2016-03-13T00:00:00Z,17,Low,High,Mon/Sun,16
2016-03-13T00:00:00Z,17,High,High,Mon/Sun,8
2016-03-13T00:00:00Z,18,Low,High,Mon/Sun,8
2016-03-13T00:00:00Z,18,High,High,Mon/Sun,3
2016-03-13T00:00:00Z,19,Low,High,Mon/Sun,14
2016-03-13T00:00:00Z,19,High,High,Mon/Sun,11
2016-03-13T00:00:00Z,20,Low,High,Mon/Sun,12
2016-03-13T00:00:00Z,20,High,High,Mon/Sun,7
2016-03-13T00:00:00Z,21,Low,High,Mon/Sun,10
2016-03-13T00:00:00Z,21,High,High,Mon/Sun,11
2016-03-13T00:00:00Z,22,Low,High,Mon/Sun,15
2016-03-13T00:00:00Z,22,High,High,Mon/Sun,10
2016-03-13T00:00:00Z,23,Low,High,Mon/Sun,11
2016-03-13T00:00:00Z,23,High,High,Mon/Sun,8
2016-03-14T00:00:00Z,0,Low,High,Tue/Sat,9
2016-03-14T00:00:00Z,0,High,High,Tue/Sat,4
2016-03-14T00:00:00Z,1,Low,High,Tue/Sat,2
2016-03-14T00:00:00Z,1,High,High,Tue/Sat,2
2016-03-14T00:00:00Z,2,Low,High,Tue/Sat,3
2016-03-14T00:00:00Z,2,High,High,Tue/Sat,4
2016-03-14T00:00:00Z,3,Low,High,Tue/Sat,2
2016-03-14T00:00:00Z,3,High,High,Tue/Sat,1
2016-03-14T00:00:00Z,4,Low,High,Tue/Sat,4
2016-03-14T00:00:00Z,4,High,High,Tue/Sat,1
2016-03-14T00:00:00Z,5,High,High,Tue/Sat,1
2016-03-14T00:00:00Z,6,Low,High,Tue/Sat,1
2016-03-14T00:00:00Z,6,High,High,Tue/Sat,1
2016-03-14T00:00:00Z,7,Low,High,Tue/Sat,7
2016-03-14T00:00:00Z,7,High,High,Tue/Sat,2
2016-03-14T00:00:00Z,8,Low,High,Tue/Sat,3
2016-03-14T00:00:00Z,8,High,High,Tue/Sat,2
2016-03-14T00:00:00Z,9,Low,High,Tue/Sat,5
2016-03-14T00:00:00Z,9,High,High,Tue/Sat,3
2016-03-14T00:00:00Z,10,Low,High,Tue/Sat,9
2016-03-14T00:00:00Z,10,High,High,Tue/Sat,6
2016-03-14T00:00:00Z,11,Low,High,Tue/Sat,7
2016-03-14T00:00:00Z,11,High,High,Tue/Sat,6
2016-03-14T00:00:00Z,12,Low,High,Tue/Sat,8
2016-03-14T00:00:00Z,12,High,High,Tue/Sat,11
2016-03-14T00:00:00Z,13,Low,High,Tue/Sat,5
2016-03-14T00:00:00Z,13,High,High,Tue/Sat,8
2016-03-14T00:00:00Z,14,Low,High,Tue/Sat,7
2016-03-14T00:00:00Z,14,High,High,Tue/Sat,8
2016-03-14T00:00:00Z,15,Low,High,Tue/Sat,5
2016-03-14T00:00:00Z,15,High,High,Tue/Sat,5
2016-03-14T00:00:00Z,16,Low,High,Tue/Sat,10
2016-03-14T00:00:00Z,16,High,High,Tue/Sat,9
2016-03-14T00:00:00Z,17,Low,High,Tue/Sat,10
2016-03-14T00:00:00Z,17,High,High,Tue/Sat,6
2016-03-14T00:00:00Z,18,Low,High,Tue/Sat,10
2016-03-14T00:00:00Z,18,High,High,Tue/Sat,7
2016-03-14T00:00:00Z,19,Low,High,Tue/Sat,9
2016-03-14T00:00:00Z,19,High,High,Tue/Sat,12
2016-03-14T00:00:00Z,20,Low,High,Tue/Sat,11
2016-03-14T00:00:00Z,20,High,High,Tue/Sat,9
2016-03-14T00:00:00Z,21,Low,High,Tue/Sat,9
2016-03-14T00:00:00Z,21,High,High,Tue/Sat,11
2016-03-14T00:00:00Z,22,Low,High,Tue/Sat,11
2016-03-14T00:00:00Z,22,High,High,Tue/Sat,9
2016-03-14T00:00:00Z,23,Low,High,Tue/Sat,8
2016-03-14T00:00:00Z,23,High,High,Tue/Sat,6
2016-03-15T00:00:00Z,0,Low,High,Tue/Sat,4
2016-03-15T00:00:00Z,0,High,High,Tue/Sat,6
2016-03-15T00:00:00Z,1,Low,High,Tue/Sat,4
2016-03-15T00:00:00Z,1,High,High,Tue/Sat,2
2016-03-15T00:00:00Z,2,Low,High,Tue/Sat,2
2016-03-15T00:00:00Z,2,High,High,Tue/Sat,2
2016-03-15T00:00:00Z,3,Low,High,Tue/Sat,1
2016-03-15T00:00:00Z,3,High,High,Tue/Sat,1
2016-03-15T00:00:00Z,4,High,High,Tue/Sat,2
2016-03-15T00:00:00Z,5,High,High,Tue/Sat,2
2016-03-15T00:00:00Z,6,Low,High,Tue/Sat,6
2016-03-15T00:00:00Z,6,High,High,Tue/Sat,1
2016-03-15T00:00:00Z,7,Low,High,Tue/Sat,1
2016-03-15T00:00:00Z,7,High,High,Tue/Sat,3
2016-03-15T00:00:00Z,8,Low,High,Tue/Sat,7
2016-03-15T00:00:00Z,8,High,High,Tue/Sat,7
2016-03-15T00:00:00Z,9,Low,High,Tue/Sat,4
2016-03-15T00:00:00Z,9,High,High,Tue/Sat,9
2016-03-15T00:00:00Z,10,Low,High,Tue/Sat,10
2016-03-15T00:00:00Z,10,High,High,Tue/Sat,10
2016-03-15T00:00:00Z,11,Low,High,Tue/Sat,2
2016-03-15T00:00:00Z,11,High,High,Tue/Sat,13
2016-03-15T00:00:00Z,12,Low,High,Tue/Sat,5
2016-03-15T00:00:00Z,12,High,High,Tue/Sat,9
2016-03-15T00:00:00Z,13,Low,High,Tue/Sat,4
2016-03-15T00:00:00Z,13,High,High,Tue/Sat,2
2016-03-15T00:00:00Z,14,Low,High,Tue/Sat,7
2016-03-15T00:00:00Z,14,High,High,Tue/Sat,9
2016-03-15T00:00:00Z,15,Low,High,Tue/Sat,8
2016-03-15T00:00:00Z,15,High,High,Tue/Sat,6
2016-03-15T00:00:00Z,16,Low,High,Tue/Sat,6
2016-03-15T00:00:00Z,16,High,High,Tue/Sat,8
2016-03-15T00:00:00Z,17,Low,High,Tue/Sat,6
2016-03-15T00:00:00Z,17,High,High,Tue/Sat,7
2016-03-15T00:00:00Z,18,Low,High,Tue/Sat,14
2016-03-15T00:00:00Z,18,High,High,Tue/Sat,5
2016-03-15T00:00:00Z,19,Low,High,Tue/Sat,12
2016-03-15T00:00:00Z,19,High,High,Tue/Sat,14
2016-03-15T00:00:00Z,20,Low,High,Tue/Sat,11
2016-03-15T00:00:00Z,20,High,High,Tue/Sat,14
2016-03-15T00:00:00Z,21,Low,High,Tue/Sat,10
2016-03-15T00:00:00Z,21,High,High,Tue/Sat,9
2016-03-15T00:00:00Z,22,Low,High,Tue/Sat,9
2016-03-15T00:00:00Z,22,High,High,Tue/Sat,6
2016-03-15T00:00:00Z,23,Low,High,Tue/Sat,3
2016-03-15T00:00:00Z,23,High,High,Tue/Sat,4
2016-03-16T00:00:00Z,0,Low,High,Tue/Sat,5
2016-03-16T00:00:00Z,1,Low,High,Tue/Sat,2
2016-03-16T00:00:00Z,1,High,High,Tue/Sat,1
2016-03-16T00:00:00Z,2,Low,High,Tue/Sat,3
2016-03-16T00:00:00Z,2,High,High,Tue/Sat,2
2016-03-16T00:00:00Z,3,Low,High,Tue/Sat,1
2016-03-16T00:00:00Z,3,High,High,Tue/Sat,1
2016-03-16T00:00:00Z,4,Low,High,Tue/Sat,3
2016-03-16T00:00:00Z,4,High,High,Tue/Sat,1
2016-03-16T00:00:00Z,5,Low,High,Tue/Sat,1
2016-03-16T00:00:00Z,5,High,High,Tue/Sat,2
2016-03-16T00:00:00Z,6,Low,High,Tue/Sat,1
2016-03-16T00:00:00Z,7,Low,High,Tue/Sat,4
2016-03-16T00:00:00Z,7,High,High,Tue/Sat,3
2016-03-16T00:00:00Z,8,Low,High,Tue/Sat,4
2016-03-16T00:00:00Z,8,High,High,Tue/Sat,4
2016-03-16T00:00:00Z,9,Low,High,Tue/Sat,7
2016-03-16T00:00:00Z,9,High,High,Tue/Sat,5
2016-03-16T00:00:00Z,10,Low,High,Tue/Sat,8
2016-03-16T00:00:00Z,10,High,High,Tue/Sat,11
2016-03-16T00:00:00Z,11,Low,High,Tue/Sat,2
2016-03-16T00:00:00Z,11,High,High,Tue/Sat,11
2016-03-16T00:00:00Z,12,Low,High,Tue/Sat,6
2016-03-16T00:00:00Z,12,High,High,Tue/Sat,9
2016-03-16T00:00:00Z,13,Low,High,Tue/Sat,5
2016-03-16T00:00:00Z,13,High,High,Tue/Sat,7
2016-03-16T00:00:00Z,14,Low,High,Tue/Sat,6
2016-03-16T00:00:00Z,14,High,High,Tue/Sat,10
2016-03-16T00:00:00Z,15,Low,High,Tue/Sat,7
2016-03-16T00:00:00Z,15,High,High,Tue/Sat,7
2016-03-16T00:00:00Z,16,Low,High,Tue/Sat,11
2016-03-16T00:00:00Z,16,High,High,Tue/Sat,15
2016-03-16T00:00:00Z,17,Low,High,Tue/Sat,9
2016-03-16T00:00:00Z,17,High,High,Tue/Sat,4
2016-03-16T00:00:00Z,18,Low,High,Tue/Sat,13
2016-03-16T00:00:00Z,18,High,High,Tue/Sat,8
2016-03-16T00:00:00Z,19,Low,High,Tue/Sat,6
2016-03-16T00:00:00Z,19,High,High,Tue/Sat,13
2016-03-16T00:00:00Z,20,Low,High,Tue/Sat,15
2016-03-16T00:00:00Z,20,High,High,Tue/Sat,12
2016-03-16T00:00:00Z,21,Low,High,Tue/Sat,8
2016-03-16T00:00:00Z,21,High,High,Tue/Sat,9
2016-03-16T00:00:00Z,22,Low,High,Tue/Sat,11
2016-03-16T00:00:00Z,22,High,High,Tue/Sat,6
2016-03-16T00:00:00Z,23,Low,High,Tue/Sat,6
2016-03-16T00:00:00Z,23,High,High,Tue/Sat,7
2016-03-17T00:00:00Z,0,Low,High,Tue/Sat,6
2016-03-17T00:00:00Z,0,High,High,Tue/Sat,8
2016-03-17T00:00:00Z,1,Low,High,Tue/Sat,3
2016-03-17T00:00:00Z,1,High,High,Tue/Sat,1
2016-03-17T00:00:00Z,2,High,High,Tue/Sat,4
2016-03-17T00:00:00Z,3,Low,High,Tue/Sat,1
2016-03-17T00:00:00Z,4,Low,High,Tue/Sat,2
2016-03-17T00:00:00Z,4,High,High,Tue/Sat,2
2016-03-17T00:00:00Z,5,Low,High,Tue/Sat,2
2016-03-17T00:00:00Z,5,High,High,Tue/Sat,2
2016-03-17T00:00:00Z,6,Low,High,Tue/Sat,2
2016-03-17T00:00:00Z,6,High,High,Tue/Sat,3
2016-03-17T00:00:00Z,7,Low,High,Tue/Sat,4
2016-03-17T00:00:00Z,7,High,High,Tue/Sat,1
2016-03-17T00:00:00Z,8,Low,High,Tue/Sat,4
2016-03-17T00:00:00Z,8,High,High,Tue/Sat,2
2016-03-17T00:00:00Z,9,Low,High,Tue/Sat,9
2016-03-17T00:00:00Z,9,High,High,Tue/Sat,3
2016-03-17T00:00:00Z,10,Low,High,Tue/Sat,9
2016-03-17T00:00:00Z,10,High,High,Tue/Sat,13
2016-03-17T00:00:00Z,11,Low,High,Tue/Sat,10
2016-03-17T00:00:00Z,11,High,High,Tue/Sat,11
2016-03-17T00:00:00Z,12,Low,High,Tue/Sat,8
2016-03-17T00:00:00Z,12,High,High,Tue/Sat,10
2016-03-17T00:00:00Z,13,Low,High,Tue/Sat,6
2016-03-17T00:00:00Z,13,High,High,Tue/Sat,5
2016-03-17T00:00:00Z,14,Low,High,Tue/Sat,7
2016-03-17T00:00:00Z,14,High,High,Tue/Sat,6
2016-03-17T00:00:00Z,15,Low,High,Tue/Sat,5
2016-03-17T00:00:00Z,15,High,High,Tue/Sat,6
2016-03-17T00:00:00Z,16,Low,High,Tue/Sat,7
2016-03-17T00:00:00Z,16,High,High,Tue/Sat,10
2016-03-17T00:00:00Z,17,Low,High,Tue/Sat,19
2016-03-17T00:00:00Z,17,High,High,Tue/Sat,13
2016-03-17T00:00:00Z,18,Low,High,Tue/Sat,14
2016-03-17T00:00:00Z,18,High,High,Tue/Sat,11
2016-03-17T00:00:00Z,19,Low,High,Tue/Sat,10
2016-03-17T00:00:00Z,19,High,High,Tue/Sat,13
2016-03-17T00:00:00Z,20,Low,High,Tue/Sat,12
2016-03-17T00:00:00Z,20,High,High,Tue/Sat,10
2016-03-17T00:00:00Z,21,Low,High,Tue/Sat,12
2016-03-17T00:00:00Z,21,High,High,Tue/Sat,10
2016-03-17T00:00:00Z,22,Low,High,Tue/Sat,13
2016-03-17T00:00:00Z,22,High,High,Tue/Sat,3
2016-03-17T00:00:00Z,23,Low,High,Tue/Sat,6
2016-03-17T00:00:00Z,23,High,High,Tue/Sat,7
2016-03-18T00:00:00Z,0,Low,High,Tue/Sat,1
2016-03-18T00:00:00Z,0,High,High,Tue/Sat,2
2016-03-18T00:00:00Z,1,Low,High,Tue/Sat,3
2016-03-18T00:00:00Z,1,High,High,Tue/Sat,1
2016-03-18T00:00:00Z,2,Low,High,Tue/Sat,2
2016-03-18T00:00:00Z,2,High,High,Tue/Sat,3
2016-03-18T00:00:00Z,3,High,High,Tue/Sat,1
2016-03-18T00:00:00Z,4,Low,High,Tue/Sat,3
2016-03-18T00:00:00Z,4,High,High,Tue/Sat,1
2016-03-18T00:00:00Z,5,Low,High,Tue/Sat,1
2016-03-18T00:00:00Z,5,High,High,Tue/Sat,1
2016-03-18T00:00:00Z,6,Low,High,Tue/Sat,3
2016-03-18T00:00:00Z,6,High,High,Tue/Sat,1
2016-03-18T00:00:00Z,7,Low,High,Tue/Sat,1
2016-03-18T00:00:00Z,7,High,High,Tue/Sat,2
2016-03-18T00:00:00Z,8,Low,High,Tue/Sat,4
2016-03-18T00:00:00Z,8,High,High,Tue/Sat,2
2016-03-18T00:00:00Z,9,Low,High,Tue/Sat,4
2016-03-18T00:00:00Z,9,High,High,Tue/Sat,3
2016-03-18T00:00:00Z,10,Low,High,Tue/Sat,5
2016-03-18T00:00:00Z,10,High,High,Tue/Sat,6
2016-03-18T00:00:00Z,11,Low,High,Tue/Sat,8
2016-03-18T00:00:00Z,11,High,High,Tue/Sat,9
2016-03-18T00:00:00Z,12,Low,High,Tue/Sat,7
2016-03-18T00:00:00Z,12,High,High,Tue/Sat,7
2016-03-18T00:00:00Z,13,Low,High,Tue/Sat,7
2016-03-18T00:00:00Z,13,High,High,Tue/Sat,8
2016-03-18T00:00:00Z,14,Low,High,Tue/Sat,7
2016-03-18T00:00:00Z,14,High,High,Tue/Sat,6
2016-03-18T00:00:00Z,15,Low,High,Tue/Sat,8
2016-03-18T00:00:00Z,15,High,High,Tue/Sat,6
2016-03-18T00:00:00Z,16,Low,High,Tue/Sat,8
2016-03-18T00:00:00Z,16,High,High,Tue/Sat,12
2016-03-18T00:00:00Z,17,Low,High,Tue/Sat,12
2016-03-18T00:00:00Z,17,High,High,Tue/Sat,9
2016-03-18T00:00:00Z,18,Low,High,Tue/Sat,12
2016-03-18T00:00:00Z,18,High,High,Tue/Sat,8
2016-03-18T00:00:00Z,19,Low,High,Tue/Sat,7
2016-03-18T00:00:00Z,19,High,High,Tue/Sat,11
2016-03-18T00:00:00Z,20,Low,High,Tue/Sat,10
2016-03-18T00:00:00Z,20,High,High,Tue/Sat,10
2016-03-18T00:00:00Z,21,Low,High,Tue/Sat,10
2016-03-18T00:00:00Z,21,High,High,Tue/Sat,14
2016-03-18T00:00:00Z,22,Low,High,Tue/Sat,6
2016-03-18T00:00:00Z,22,High,High,Tue/Sat,12
2016-03-18T00:00:00Z,23,Low,High,Tue/Sat,9
2016-03-18T00:00:00Z,23,High,High,Tue/Sat,12
2016-03-19T00:00:00Z,0,Low,High,Mon/Sun,5
2016-03-19T00:00:00Z,0,High,High,Mon/Sun,4
2016-03-19T00:00:00Z,1,Low,High,Mon/Sun,4
2016-03-19T00:00:00Z,1,High,High,Mon/Sun,4
2016-03-19T00:00:00Z,2,Low,High,Mon/Sun,1
2016-03-19T00:00:00Z,2,High,High,Mon/Sun,2
2016-03-19T00:00:00Z,3,Low,High,Mon/Sun,3
2016-03-19T00:00:00Z,3,High,High,Mon/Sun,5
2016-03-19T00:00:00Z,4,Low,High,Mon/Sun,1
2016-03-19T00:00:00Z,5,Low,High,Mon/Sun,1
2016-03-19T00:00:00Z,5,High,High,Mon/Sun,1
2016-03-19T00:00:00Z,6,Low,High,Mon/Sun,4
2016-03-19T00:00:00Z,6,High,High,Mon/Sun,4
2016-03-19T00:00:00Z,7,Low,High,Mon/Sun,3
2016-03-19T00:00:00Z,7,High,High,Mon/Sun,5
2016-03-19T00:00:00Z,8,Low,High,Mon/Sun,5
2016-03-19T00:00:00Z,8,High,High,Mon/Sun,5
2016-03-19T00:00:00Z,9,Low,High,Mon/Sun,5
2016-03-19T00:00:00Z,9,High,High,Mon/Sun,7
2016-03-19T00:00:00Z,10,Low,High,Mon/Sun,4
2016-03-19T00:00:00Z,10,High,High,Mon/Sun,8
2016-03-19T00:00:00Z,11,Low,High,Mon/Sun,5
2016-03-19T00:00:00Z,11,High,High,Mon/Sun,12
2016-03-19T00:00:00Z,12,Low,High,Mon/Sun,8
2016-03-19T00:00:00Z,12,High,High,Mon/Sun,9
2016-03-19T00:00:00Z,13,Low,High,Mon/Sun,8
2016-03-19T00:00:00Z,13,High,High,Mon/Sun,7
2016-03-19T00:00:00Z,14,Low,High,Mon/Sun,7
2016-03-19T00:00:00Z,14,High,High,Mon/Sun,8
2016-03-19T00:00:00Z,15,Low,High,Mon/Sun,7
2016-03-19T00:00:00Z,15,High,High,Mon/Sun,12
2016-03-19T00:00:00Z,16,Low,High,Mon/Sun,7
2016-03-19T00:00:00Z,16,High,High,Mon/Sun,5
